"","index","rune","color","word_length","word","gemetria_sequence","img","dots","end_of_page","punct","total_word_count","word_rune_position","total_line_count","end_of_line","rune_by_page","word_gemetria_value","sections","word_by_page","total_rune_position","unused","line_by_page","rune_as_prime","index_of_next_instance","gap_to_next_instance","space_to_next_instance","rune_count_by_sect","word_by_sect"
"13",13,"c","red","5","s,y,e,ing,c",5,"no",13,0,NA,2,5,1,NA,13,315,1,2,13,1,1,13,94,81,80,13,2
"14",14,"th","black","4","th,j,g,ae",2,"no",NA,0,NA,3,1,1,NA,14,160,1,3,14,0,1,5,23,9,8,14,3
"15",15,"j","black","4","th,j,g,ae",11,"no",NA,0,NA,3,2,1,NA,15,160,1,3,15,0,1,37,19,4,3,15,3
"16",16,"g","black","4","th,j,g,ae",6,"no",NA,0,NA,3,3,1,NA,16,160,1,3,16,0,1,17,37,21,20,16,3
"17",17,"ae","black","4","th,j,g,ae",25,"no",NA,0,NA,3,4,1,NA,17,160,1,3,17,0,1,101,36,19,18,17,3
"18",18,"f","black","3","f,j,oe",0,"no",NA,0,NA,4,1,1,NA,18,122,1,4,18,0,1,2,59,41,40,18,4
"19",19,"j","black","3","f,j,oe",11,"no",NA,0,NA,4,2,1,NA,19,122,1,4,19,0,1,37,48,29,28,19,4
"20",20,"oe","black","3","f,j,oe",22,"no",NA,0,NA,4,3,1,1,20,122,1,4,20,0,1,83,30,10,9,20,4
"21",21,"o","black","3","o,n,th",3,"no",NA,0,NA,5,1,2,NA,21,41,1,5,21,0,2,7,79,58,57,21,5
"22",22,"n","black","3","o,n,th",9,"no",NA,0,NA,5,2,2,NA,22,41,1,5,22,0,2,29,24,2,1,22,5
"23",23,"th","black","3","o,n,th",2,"no",NA,0,NA,5,3,2,NA,23,41,1,5,23,0,2,5,39,16,15,23,5
"24",24,"n","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",9,"no",NA,0,NA,6,1,2,NA,24,563,1,6,24,0,2,29,35,11,10,24,6
"25",25,"e","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",18,"no",NA,0,NA,6,2,2,NA,25,563,1,6,25,0,2,67,57,32,31,25,6
"26",26,"w","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",7,"no",NA,0,NA,6,3,2,NA,26,563,1,6,26,0,2,19,135,109,108,26,6
"27",27,"b","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",17,"no",NA,0,NA,6,4,2,NA,27,563,1,6,27,0,2,61,41,14,13,27,6
"28",28,"a","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",24,"no",NA,0,NA,6,5,2,NA,28,563,1,6,28,0,2,97,50,22,21,28,6
"29",29,"s","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",15,"no",NA,0,NA,6,6,2,NA,29,563,1,6,29,0,2,53,63,34,33,29,6
"30",30,"oe","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",22,"no",NA,0,NA,6,7,2,NA,30,563,1,6,30,0,2,83,174,144,143,30,6
"31",31,"eo","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",12,"no",NA,0,NA,6,8,2,NA,31,563,1,6,31,0,2,41,47,16,15,31,6
"32",32,"i","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",10,"no",NA,0,NA,6,9,2,NA,32,563,1,6,32,0,2,31,38,6,5,32,6
"33",33,"ing","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",21,"no",NA,0,NA,6,10,2,NA,33,563,1,6,33,0,2,79,51,18,17,33,6
"34",34,"u","black","11","n,e,w,b,a,s,oe,eo,i,ing,u",1,"no",NA,0,NA,6,11,2,NA,34,563,1,6,34,0,2,3,68,34,33,34,6
"35",35,"n","black","5","n,ae,g,i,th",9,"no",NA,0,NA,7,1,2,NA,35,183,1,7,35,0,2,29,42,7,6,35,7
"36",36,"ae","black","5","n,ae,g,i,th",25,"no",NA,0,NA,7,2,2,NA,36,183,1,7,36,0,2,101,82,46,45,36,7
"37",37,"g","black","5","n,ae,g,i,th",6,"no",NA,0,NA,7,3,2,NA,37,183,1,7,37,0,2,17,61,24,23,37,7
"38",38,"i","black","5","n,ae,g,i,th",10,"no",NA,0,NA,7,4,2,NA,38,183,1,7,38,0,2,31,84,46,45,38,7
"39",39,"th","black","5","n,ae,g,i,th",2,"no",NA,0,NA,7,5,2,NA,39,183,1,7,39,0,2,5,49,10,9,39,7
"40",40,"h","black","4","h,b,n,ia",8,"no",NA,0,NA,8,1,2,NA,40,220,1,8,40,0,2,23,75,35,34,40,8
"41",41,"b","black","4","h,b,n,ia",17,"no",NA,0,NA,8,2,2,NA,41,220,1,8,41,0,2,61,45,4,3,41,8
"42",42,"n","black","4","h,b,n,ia",9,"no",NA,0,NA,8,3,2,NA,42,220,1,8,42,0,2,29,46,4,3,42,8
"43",43,"ia","black","4","h,b,n,ia",27,"no",NA,0,NA,8,4,2,1,43,220,1,8,43,0,2,107,58,15,14,43,8
"44",44,"p","black","3","p,b,n",13,"no",NA,0,NA,9,1,3,NA,44,133,1,9,44,0,3,43,56,12,11,44,9
"45",45,"b","black","3","p,b,n",17,"no",NA,0,NA,9,2,3,NA,45,133,1,9,45,0,3,61,54,9,8,45,9
"46",46,"n","black","3","p,b,n",9,"no",NA,0,NA,9,3,3,NA,46,133,1,9,46,0,3,29,117,71,70,46,9
"47",47,"eo","black","3","eo,j,th",12,"no",NA,0,NA,10,1,3,NA,47,83,1,10,47,0,3,41,105,58,57,47,10
"48",48,"j","black","3","eo,j,th",11,"no",NA,0,NA,10,2,3,NA,48,83,1,10,48,0,3,37,95,47,46,48,10
"49",49,"th","black","3","eo,j,th",2,"no",NA,0,NA,10,3,3,NA,49,83,1,10,49,0,3,5,83,34,33,49,10
"50",50,"a","black","4","a,ing,y,x",24,"no",NA,0,NA,11,1,3,NA,50,326,1,11,50,0,3,97,97,47,46,50,11
"51",51,"ing","black","4","a,ing,y,x",21,"no",NA,0,NA,11,2,3,NA,51,326,1,11,51,0,3,79,69,18,17,51,11
"52",52,"y","black","4","a,ing,y,x",26,"no",NA,0,NA,11,3,3,NA,52,326,1,11,52,0,3,103,70,18,17,52,11
"53",53,"x","black","4","a,ing,y,x",14,"no",NA,0,NA,11,4,3,NA,53,326,1,11,53,0,3,47,60,7,6,53,11
"54",54,"b","black","3","b,d,p",17,"no",NA,0,NA,12,1,3,NA,54,193,1,12,54,0,3,61,76,22,21,54,12
"55",55,"d","black","3","b,d,p",23,"no",NA,0,NA,12,2,3,NA,55,193,1,12,55,0,3,89,132,77,76,55,12
"56",56,"p","black","3","b,d,p",13,"no",NA,0,NA,12,3,3,NA,56,193,1,12,56,0,3,43,64,8,7,56,12
"57",57,"e","black","6","e,ia,f,x,g,f",18,"no",NA,0,NA,13,1,3,NA,57,242,1,13,57,0,3,67,112,55,54,57,13
"58",58,"ia","black","6","e,ia,f,x,g,f",27,"no",NA,0,NA,13,2,3,NA,58,242,1,13,58,0,3,107,73,15,14,58,13
"59",59,"f","black","6","e,ia,f,x,g,f",0,"no",NA,0,NA,13,3,3,NA,59,242,1,13,59,0,3,2,62,3,2,59,13
"60",60,"x","black","6","e,ia,f,x,g,f",14,"no",NA,0,NA,13,4,3,NA,60,242,1,13,60,0,3,47,72,12,11,60,13
"61",61,"g","black","6","e,ia,f,x,g,f",6,"no",NA,0,NA,13,5,3,NA,61,242,1,13,61,0,3,17,78,17,16,61,13
"62",62,"f","black","6","e,ia,f,x,g,f",0,"no",NA,0,NA,13,6,3,1,62,242,1,13,62,0,3,2,66,4,3,62,13
"63",63,"s","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",15,"no",NA,0,NA,14,1,4,NA,63,618,1,14,63,0,4,53,203,140,139,63,14
"64",64,"p","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",13,"no",NA,0,NA,14,2,4,NA,64,618,1,14,64,0,4,43,67,3,2,64,14
"65",65,"t","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",16,"no",NA,0,NA,14,3,4,NA,65,618,1,14,65,0,4,59,106,41,40,65,14
"66",66,"f","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",0,"no",NA,0,NA,14,4,4,NA,66,618,1,14,66,0,4,2,92,26,25,66,14
"67",67,"p","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",13,"no",NA,0,NA,14,5,4,NA,67,618,1,14,67,0,4,43,80,13,12,67,14
"68",68,"u","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",1,"no",NA,0,NA,14,6,4,NA,68,618,1,14,68,0,4,3,77,9,8,68,14
"69",69,"ing","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",21,"no",NA,0,NA,14,7,4,NA,69,618,1,14,69,0,4,79,71,2,1,69,14
"70",70,"y","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",26,"no",NA,0,NA,14,8,4,NA,70,618,1,14,70,0,4,103,74,4,3,70,14
"71",71,"ing","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",21,"no",NA,0,NA,14,9,4,NA,71,618,1,14,71,0,4,79,81,10,9,71,14
"72",72,"x","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",14,"no",NA,0,NA,14,10,4,NA,72,618,1,14,72,0,4,47,87,15,14,72,14
"73",73,"ia","black","11","s,p,t,f,p,u,ing,y,ing,x,ia",27,"no",NA,0,NA,14,11,4,NA,73,618,1,14,73,0,4,107,102,29,28,73,14
"74",74,"y","black","2","y,h",26,"no",NA,0,NA,15,1,4,NA,74,126,1,15,74,0,4,103,91,17,16,74,15
"75",75,"h","black","2","y,h",8,"no",NA,0,NA,15,2,4,NA,75,126,1,15,75,0,4,23,86,11,10,75,15
"76",76,"b","black","2","b,u",17,"no",NA,0,NA,16,1,4,NA,76,64,1,16,76,0,4,61,136,60,59,76,16
"77",77,"u","black","2","b,u",1,"no",NA,0,NA,16,2,4,NA,77,64,1,16,77,0,4,3,113,36,35,77,16
"78",78,"g","black","3","g,o,p",6,"no",NA,0,NA,17,1,4,NA,78,67,1,17,78,0,4,17,90,12,11,78,17
"79",79,"o","black","3","g,o,p",3,"no",NA,0,NA,17,2,4,NA,79,67,1,17,79,0,4,7,164,85,84,79,17
"80",80,"p","black","3","g,o,p",13,"no",NA,0,NA,17,3,4,NA,80,67,1,17,80,0,4,43,89,9,8,80,17
"81",81,"ing","black","3","ing,ae,th",21,"no",NA,0,NA,18,1,4,NA,81,185,1,18,81,0,4,79,93,12,11,81,18
"82",82,"ae","black","3","ing,ae,th",25,"no",NA,0,NA,18,2,4,NA,82,185,1,18,82,0,4,101,85,3,2,82,18
"83",83,"th","black","3","ing,ae,th",2,"no",NA,0,NA,18,3,4,NA,83,185,1,18,83,0,4,5,88,5,4,83,18
"84",84,"i","black","7","i,ae,h,x,th,p,g",10,"no",NA,0,NA,19,1,4,1,84,267,1,19,84,0,4,31,99,15,14,84,19
"85",85,"ae","black","7","i,ae,h,x,th,p,g",25,"no",NA,0,NA,19,2,5,NA,85,267,1,19,85,0,5,101,108,23,22,85,19
"86",86,"h","black","7","i,ae,h,x,th,p,g",8,"no",NA,0,NA,19,3,5,NA,86,267,1,19,86,0,5,23,104,18,17,86,19
"87",87,"x","black","7","i,ae,h,x,th,p,g",14,"no",NA,0,NA,19,4,5,NA,87,267,1,19,87,0,5,47,110,23,22,87,19
"88",88,"th","black","7","i,ae,h,x,th,p,g",2,"no",NA,0,NA,19,5,5,NA,88,267,1,19,88,0,5,5,96,8,7,88,19
"89",89,"p","black","7","i,ae,h,x,th,p,g",13,"no",NA,0,NA,19,6,5,NA,89,267,1,19,89,0,5,43,124,35,34,89,19
"90",90,"g","black","7","i,ae,h,x,th,p,g",6,"no",NA,0,NA,19,7,5,NA,90,267,1,19,90,0,5,17,150,60,59,90,19
"91",91,"y","black","5","y,f,ing,c,j",26,"no",NA,0,NA,20,1,5,NA,91,234,1,20,91,0,5,103,103,12,11,91,20
"92",92,"f","black","5","y,f,ing,c,j",0,"no",NA,0,NA,20,2,5,NA,92,234,1,20,92,0,5,2,116,24,23,92,20
"93",93,"ing","black","5","y,f,ing,c,j",21,"no",NA,0,NA,20,3,5,NA,93,234,1,20,93,0,5,79,100,7,6,93,20
"94",94,"c","black","5","y,f,ing,c,j",5,"no",NA,0,NA,20,4,5,NA,94,234,1,20,94,0,5,13,115,21,20,94,20
"95",95,"j","black","5","y,f,ing,c,j",11,"no",NA,0,NA,20,5,5,NA,95,234,1,20,95,0,5,37,120,25,24,95,20
"96",96,"th","black","8","th,a,m,i,ing,i,ia,y",2,"no",NA,0,NA,21,1,5,NA,96,524,1,21,96,0,5,5,119,23,22,96,21
"97",97,"a","black","8","th,a,m,i,ing,i,ia,y",24,"no",NA,0,NA,21,2,5,NA,97,524,1,21,97,0,5,97,158,61,60,97,21
"98",98,"m","black","8","th,a,m,i,ing,i,ia,y",19,"no",NA,0,NA,21,3,5,NA,98,524,1,21,98,0,5,71,142,44,43,98,21
"99",99,"i","black","8","th,a,m,i,ing,i,ia,y",10,"no",NA,0,NA,21,4,5,NA,99,524,1,21,99,0,5,31,101,2,1,99,21
"100",100,"ing","black","8","th,a,m,i,ing,i,ia,y",21,"no",NA,0,NA,21,5,5,NA,100,524,1,21,100,0,5,79,114,14,13,100,21
"101",101,"i","black","8","th,a,m,i,ing,i,ia,y",10,"no",NA,0,NA,21,6,5,NA,101,524,1,21,101,0,5,31,121,20,19,101,21
"102",102,"ia","black","8","th,a,m,i,ing,i,ia,y",27,"no",NA,0,NA,21,7,5,NA,102,524,1,21,102,0,5,107,109,7,6,102,21
"103",103,"y","black","8","th,a,m,i,ing,i,ia,y",26,"no",NA,0,NA,21,8,5,NA,103,524,1,21,103,0,5,103,111,8,7,103,21
"104",104,"h","black","2","h,eo",8,"no",NA,0,NA,22,1,5,NA,104,64,1,22,104,0,5,23,107,3,2,104,22
"105",105,"eo","black","2","h,eo",12,"no",NA,0,NA,22,2,5,NA,105,64,1,22,105,0,5,41,118,13,12,105,22
"106",106,"t","black","4","t,h,ae,ia",16,"no",NA,0,NA,23,1,5,NA,106,290,1,23,106,0,5,59,143,37,36,106,23
"107",107,"h","black","4","t,h,ae,ia",8,"no",NA,0,NA,23,2,5,NA,107,290,1,23,107,0,5,23,175,68,67,107,23
"108",108,"ae","black","4","t,h,ae,ia",25,"no",NA,0,NA,23,3,5,1,108,290,1,23,108,0,5,101,180,72,71,108,23
"109",109,"ia","black","4","t,h,ae,ia",27,"no",NA,0,NA,23,4,6,NA,109,290,1,23,109,0,6,107,201,92,91,109,23
"110",110,"x","black","2","x,y",14,"no",NA,0,NA,24,1,6,NA,110,150,1,24,110,0,6,47,133,23,22,110,24
"111",111,"y","black","2","x,y",26,"no",NA,0,NA,24,2,6,NA,111,150,1,24,111,0,6,103,125,14,13,111,24
"112",112,"e","black","3","e,u,ing",18,"no",NA,0,NA,25,1,6,NA,112,149,1,25,112,0,6,67,130,18,17,112,25
"113",113,"u","black","3","e,u,ing",1,"no",NA,0,NA,25,2,6,NA,113,149,1,25,113,0,6,3,225,112,111,113,25
"114",114,"ing","black","3","e,u,ing",21,"no",NA,0,NA,25,3,6,NA,114,149,1,25,114,0,6,79,126,12,11,114,25
"115",115,"c","black","3","c,f,n",5,"no",NA,0,NA,26,1,6,NA,115,44,1,26,115,0,6,13,137,22,21,115,26
"116",116,"f","black","3","c,f,n",0,"no",NA,0,NA,26,2,6,NA,116,44,1,26,116,0,6,2,141,25,24,116,26
"117",117,"n","black","3","c,f,n",9,"no",NA,0,NA,26,3,6,NA,117,44,1,26,117,0,6,29,129,12,11,117,26
"118",118,"eo","black","5","eo,th,j,i,th",12,"no",NA,0,NA,27,1,6,NA,118,119,1,27,118,0,6,41,166,48,47,118,27
"119",119,"th","black","5","eo,th,j,i,th",2,"no",NA,0,NA,27,2,6,NA,119,119,1,27,119,0,6,5,122,3,2,119,27
"120",120,"j","black","5","eo,th,j,i,th",11,"no",NA,0,NA,27,3,6,NA,120,119,1,27,120,0,6,37,147,27,26,120,27
"121",121,"i","black","5","eo,th,j,i,th",10,"no",NA,0,NA,27,4,6,NA,121,119,1,27,121,0,6,31,156,35,34,121,27
"122",122,"th","black","5","eo,th,j,i,th",2,"no",NA,0,NA,27,5,6,NA,122,119,1,27,122,0,6,5,123,1,0,122,27
"123",123,"th","black","2","th,p",2,"no",NA,0,NA,28,1,6,NA,123,48,1,28,123,0,6,5,154,31,30,123,28
"124",124,"p","black","2","th,p",13,"no",NA,0,NA,28,2,6,NA,124,48,1,28,124,0,6,43,169,45,44,124,28
"125",125,"y","black","3","y,ing,ea",26,"no",NA,0,NA,29,1,6,NA,125,291,1,29,125,0,6,103,128,3,2,125,29
"126",126,"ing","black","3","y,ing,ea",21,"no",NA,0,NA,29,2,6,NA,126,291,1,29,126,0,6,79,134,8,7,126,29
"127",127,"ea","black","3","y,ing,ea",28,"no",NA,0,NA,29,3,6,NA,127,291,1,29,127,0,6,109,146,19,18,127,29
"128",128,"y","black","4","y,n,e,y",26,"no",NA,0,NA,30,1,6,NA,128,302,1,30,128,0,6,103,131,3,2,128,30
"129",129,"n","black","4","y,n,e,y",9,"no",NA,0,NA,30,2,6,1,129,302,1,30,129,0,6,29,144,15,14,129,30
"130",130,"e","black","4","y,n,e,y",18,"no",NA,0,NA,30,3,7,NA,130,302,1,30,130,0,7,67,145,15,14,130,30
"131",131,"y","black","4","y,n,e,y",26,"no",NA,0,NA,30,4,7,NA,131,302,1,30,131,0,7,103,155,24,23,131,30
"132",132,"d","black","4","d,x,ing,w",23,"no",NA,0,NA,31,1,7,NA,132,234,1,31,132,0,7,89,139,7,6,132,31
"133",133,"x","black","4","d,x,ing,w",14,"no",NA,0,NA,31,2,7,NA,133,234,1,31,133,0,7,47,138,5,4,133,31
"134",134,"ing","black","4","d,x,ing,w",21,"no",NA,0,NA,31,3,7,NA,134,234,1,31,134,0,7,79,159,25,24,134,31
"135",135,"w","black","4","d,x,ing,w",7,"no",NA,0,NA,31,4,7,NA,135,234,1,31,135,0,7,19,186,51,50,135,31
"136",136,"b","black","6","b,c,x,d,b,f",17,"no",NA,0,NA,32,1,7,NA,136,273,1,32,136,0,7,61,140,4,3,136,32
"137",137,"c","black","6","b,c,x,d,b,f",5,"no",NA,0,NA,32,2,7,NA,137,273,1,32,137,0,7,13,237,100,99,137,32
"138",138,"x","black","6","b,c,x,d,b,f",14,"no",NA,0,NA,32,3,7,NA,138,273,1,32,138,0,7,47,152,14,13,138,32
"139",139,"d","black","6","b,c,x,d,b,f",23,"no",NA,0,NA,32,4,7,NA,139,273,1,32,139,0,7,89,157,18,17,139,32
"140",140,"b","black","6","b,c,x,d,b,f",17,"no",NA,0,NA,32,5,7,NA,140,273,1,32,140,0,7,61,151,11,10,140,32
"141",141,"f","black","6","b,c,x,d,b,f",0,"no",NA,0,NA,32,6,7,NA,141,273,1,32,141,0,7,2,178,37,36,141,32
"142",142,"m","black","4","m,t,n,e",19,"no",NA,0,NA,33,1,7,NA,142,226,1,33,142,0,7,71,161,19,18,142,33
"143",143,"t","black","4","m,t,n,e",16,"no",NA,0,NA,33,2,7,NA,143,226,1,33,143,0,7,59,168,25,24,143,33
"144",144,"n","black","4","m,t,n,e",9,"no",NA,0,NA,33,3,7,NA,144,226,1,33,144,0,7,29,148,4,3,144,33
"145",145,"e","black","4","m,t,n,e",18,"no",NA,0,NA,33,4,7,NA,145,226,1,33,145,0,7,67,248,103,102,145,33
"146",146,"ea","black","6","ea,j,n,l,g,b",28,"no",NA,0,NA,34,1,7,NA,146,326,1,34,146,0,7,109,177,31,30,146,34
"147",147,"j","black","6","ea,j,n,l,g,b",11,"no",NA,0,NA,34,2,7,NA,147,326,1,34,147,0,7,37,162,15,14,147,34
"148",148,"n","black","6","ea,j,n,l,g,b",9,"no",NA,0,NA,34,3,7,NA,148,326,1,34,148,0,7,29,192,44,43,148,34
"149",149,"l","black","6","ea,j,n,l,g,b",20,"no",NA,0,NA,34,4,7,NA,149,326,1,34,149,0,7,73,165,16,15,149,34
"150",150,"g","black","6","ea,j,n,l,g,b",6,"no",NA,0,NA,34,5,7,1,150,326,1,34,150,0,7,17,153,3,2,150,34
"151",151,"b","black","6","ea,j,n,l,g,b",17,"no",NA,0,NA,34,6,8,NA,151,326,1,34,151,0,8,61,211,60,59,151,34
"152",152,"x","black","3","x,g,th",14,"no",NA,0,NA,35,1,8,NA,152,69,1,35,152,0,8,47,179,27,26,152,35
"153",153,"g","black","3","x,g,th",6,"no",NA,0,NA,35,2,8,NA,153,69,1,35,153,0,8,17,160,7,6,153,35
"154",154,"th","black","3","x,g,th",2,"no",4,0,NA,35,3,8,NA,154,69,1,35,154,0,8,5,171,17,16,154,35
"155",155,"y","black","4","y,i,d,a",26,"no",NA,0,NA,36,1,8,NA,155,320,1,36,155,0,8,103,167,12,11,155,36
"156",156,"i","black","4","y,i,d,a",10,"no",NA,0,NA,36,2,8,NA,156,320,1,36,156,0,8,31,170,14,13,156,36
"157",157,"d","black","4","y,i,d,a",23,"no",NA,0,NA,36,3,8,NA,157,320,1,36,157,0,8,89,172,15,14,157,36
"158",158,"a","black","4","y,i,d,a",24,"no",NA,0,NA,36,4,8,NA,158,320,1,36,158,0,8,97,202,44,43,158,36
"159",159,"ing","black","8","ing,g,m,j,r,o,l,eo",21,"no",NA,0,NA,37,1,8,NA,159,336,1,37,159,0,8,79,197,38,37,159,37
"160",160,"g","black","8","ing,g,m,j,r,o,l,eo",6,"no",NA,0,NA,37,2,8,NA,160,336,1,37,160,0,8,17,182,22,21,160,37
"161",161,"m","black","8","ing,g,m,j,r,o,l,eo",19,"no",NA,0,NA,37,3,8,NA,161,336,1,37,161,0,8,71,193,32,31,161,37
"162",162,"j","black","8","ing,g,m,j,r,o,l,eo",11,"no",NA,0,NA,37,4,8,NA,162,336,1,37,162,0,8,37,173,11,10,162,37
"163",163,"r","black","8","ing,g,m,j,r,o,l,eo",4,"no",NA,0,NA,37,5,8,NA,163,336,1,37,163,0,8,11,200,37,36,163,37
"164",164,"o","black","8","ing,g,m,j,r,o,l,eo",3,"no",NA,0,NA,37,6,8,NA,164,336,1,37,164,0,8,7,215,51,50,164,37
"165",165,"l","black","8","ing,g,m,j,r,o,l,eo",20,"no",NA,0,NA,37,7,8,NA,165,336,1,37,165,0,8,73,176,11,10,165,37
"166",166,"eo","black","8","ing,g,m,j,r,o,l,eo",12,"no",NA,0,NA,37,8,8,NA,166,336,1,37,166,0,8,41,187,21,20,166,37
"167",167,"y","black","7","y,t,p,i,th,d,j",26,"no",NA,0,NA,38,1,8,NA,167,367,1,38,167,0,8,103,231,64,63,167,38
"168",168,"t","black","7","y,t,p,i,th,d,j",16,"no",NA,0,NA,38,2,8,NA,168,367,1,38,168,0,8,59,188,20,19,168,38
"169",169,"p","black","7","y,t,p,i,th,d,j",13,"no",NA,0,NA,38,3,8,NA,169,367,1,38,169,0,8,43,181,12,11,169,38
"170",170,"i","black","7","y,t,p,i,th,d,j",10,"no",NA,0,NA,38,4,8,NA,170,367,1,38,170,0,8,31,264,94,93,170,38
"171",171,"th","black","7","y,t,p,i,th,d,j",2,"no",NA,0,NA,38,5,8,NA,171,367,1,38,171,0,8,5,286,115,114,171,38
"172",172,"d","black","7","y,t,p,i,th,d,j",23,"no",NA,0,NA,38,6,8,NA,172,367,1,38,172,0,8,89,210,38,37,172,38
"173",173,"j","black","7","y,t,p,i,th,d,j",11,"no",NA,0,NA,38,7,8,1,173,367,1,38,173,0,8,37,331,158,157,173,38
"174",174,"oe","black","3","oe,h,l",22,"no",NA,0,NA,39,1,9,NA,174,179,1,39,174,0,9,83,212,38,37,174,39
"175",175,"h","black","3","oe,h,l",8,"no",NA,0,NA,39,2,9,NA,175,179,1,39,175,0,9,23,218,43,42,175,39
"176",176,"l","black","3","oe,h,l",20,"no",NA,0,NA,39,3,9,NA,176,179,1,39,176,0,9,73,185,9,8,176,39
"177",177,"ea","black","1","ea",28,"no",NA,0,NA,40,1,9,NA,177,109,1,40,177,0,9,109,204,27,26,177,40
"178",178,"f","black","6","f,x,ae,p,g,x",0,"no",NA,0,NA,41,1,9,NA,178,257,1,41,178,0,9,2,184,6,5,178,41
"179",179,"x","black","6","f,x,ae,p,g,x",14,"no",NA,0,NA,41,2,9,NA,179,257,1,41,179,0,9,47,183,4,3,179,41
"180",180,"ae","black","6","f,x,ae,p,g,x",25,"no",NA,0,NA,41,3,9,NA,180,257,1,41,180,0,9,101,189,9,8,180,41
"181",181,"p","black","6","f,x,ae,p,g,x",13,"no",NA,0,NA,41,4,9,NA,181,257,1,41,181,0,9,43,282,101,100,181,41
"182",182,"g","black","6","f,x,ae,p,g,x",6,"no",NA,0,NA,41,5,9,NA,182,257,1,41,182,0,9,17,191,9,8,182,41
"183",183,"x","black","6","f,x,ae,p,g,x",14,"no",NA,0,NA,41,6,9,NA,183,257,1,41,183,0,9,47,207,24,23,183,41
"184",184,"f","black","6","f,l,w,eo,t,ae",0,"no",NA,0,NA,42,1,9,NA,184,295,1,42,184,0,9,2,190,6,5,184,42
"185",185,"l","black","6","f,l,w,eo,t,ae",20,"no",NA,0,NA,42,2,9,NA,185,295,1,42,185,0,9,73,195,10,9,185,42
"186",186,"w","black","6","f,l,w,eo,t,ae",7,"no",NA,0,NA,42,3,9,NA,186,295,1,42,186,0,9,19,249,63,62,186,42
"187",187,"eo","black","6","f,l,w,eo,t,ae",12,"no",NA,0,NA,42,4,9,NA,187,295,1,42,187,0,9,41,194,7,6,187,42
"188",188,"t","black","6","f,l,w,eo,t,ae",16,"no",NA,0,NA,42,5,9,NA,188,295,1,42,188,0,9,59,228,40,39,188,42
